id,set,label
283,train,11
284,train,0
285,train,1
286,train,0
287,test,8
288,train,4
289,test,0
290,train,8
291,train,1
292,train,4
293,train,2
294,train,4
295,train,10
296,train,4
297,train,4
298,test,5
299,test,2
300,train,1
301,train,5
302,test,1
303,train,5
304,train,1
305,test,2
306,train,8
307,test,1
308,train,4
309,test,1
310,test,2
311,test,6
312,train,3
313,test,7
314,train,3
315,train,0
316,train,8
317,train,0
318,train,2
319,train,4
320,train,0
321,train,3
322,train,1
323,train,8
324,train,2
325,test,2
326,train,1
327,train,5
328,train,1
329,train,3
330,train,3
331,test,7
332,train,5
333,train,4
334,test,2
335,train,2
336,train,1
337,test,3
338,train,0
339,train,8
340,train,1
341,train,1
342,test,1
343,test,2
344,test,3
345,train,3
346,train,3
347,train,0
348,train,9
349,train,1
350,train,1
351,train,4
352,train,1
353,train,4
354,train,1
355,test,2
356,train,0
357,train,2
358,test,0
359,train,0
360,train,0
361,test,0
362,train,4
363,train,0
364,train,7
365,test,0
366,train,1
367,test,9
368,test,8
369,train,3
370,train,13
371,train,3
372,train,2
373,train,2
374,train,3
375,train,4
376,train,2
377,train,8
378,train,2
379,train,0
380,train,8
381,train,6
382,test,3
383,train,4
384,train,7
385,train,6
386,train,5
387,test,4
388,train,2
389,test,3
390,train,0
391,test,7
392,train,2
393,train,3
394,train,0
395,train,8
396,train,2
397,train,11
398,train,2
399,train,4
400,test,1
401,train,1
402,train,6
403,train,4
404,train,1
405,train,7
406,train,0
407,train,1
408,train,5
409,train,2
410,train,0
411,test,0
412,test,0
413,train,0
414,test,5
415,train,0
416,train,1
417,train,4
418,train,7
419,train,1
420,train,2
421,train,0
422,test,2
423,train,0
424,train,10
425,train,3
426,train,10
427,train,5
428,train,0
429,test,1
430,train,1
431,train,0
432,test,1
433,train,2
434,train,3
435,test,6
436,test,2
437,train,4
438,test,1
439,test,0
440,train,4
441,train,13
442,train,3
443,test,1
444,train,1
445,train,9
446,train,2
447,train,2
448,train,1
449,train,10
450,train,2
451,train,3
452,test,2
453,train,2
454,test,4
455,train,6
456,train,8
457,train,4
458,train,8
459,test,1
460,train,3
461,train,4
462,train,3
463,test,6
464,test,6
465,train,8
466,train,5
467,train,7
468,train,6
469,train,0
470,test,3
471,train,4
472,train,5
473,train,1
474,train,9
475,train,3
476,test,1
477,train,1
478,test,6
479,train,1
480,test,4
481,test,1
482,train,0
483,train,5
484,test,6
485,test,0
486,test,0
487,train,2
488,train,5
489,train,1
490,train,8
491,train,7
492,test,5
493,train,0
494,train,1
495,train,1
496,train,3
497,train,9
498,train,5
499,train,1
500,test,8
501,train,8
502,train,1
503,train,6
504,train,3
505,train,1
506,train,2
507,train,1
508,train,5
509,train,0
510,train,3
511,test,8
512,train,1
513,train,0
514,train,5
515,train,9
516,test,5
517,test,0
518,train,1
519,train,6
520,train,3
521,train,0
522,train,0
523,train,9
524,train,0
525,train,1
526,train,2
527,test,2
528,train,4
529,train,0
530,train,5
531,train,10
532,train,0
533,test,2
534,train,0
535,train,1
536,train,2
537,train,2
538,train,3
539,train,7
540,train,0
541,train,2
542,train,9
543,train,1
544,test,3
545,test,2
546,train,8
547,train,2
548,train,3
549,test,4
550,train,3
551,train,3
552,train,1
553,train,3
554,test,2
555,train,0
556,train,5
557,train,0
558,train,6
559,train,1
560,train,2
561,train,2
562,train,8
563,train,0
564,train,2
565,test,10
566,train,1
567,train,4
568,train,0
569,train,1
570,train,4
571,train,8
572,train,7
573,train,1
574,train,2
575,train,7
576,train,7
577,train,1
578,test,3
579,train,1
580,train,4
581,train,2
582,train,0
583,train,2
584,train,6
585,train,1
586,train,0
587,train,3
588,train,6
589,train,3
590,test,1
591,train,0
592,train,2
593,train,8
594,test,1
595,test,6
596,train,1
597,test,0
598,train,3
599,train,0
600,train,10
601,train,2
602,test,1
603,train,0
604,train,11
605,train,10
606,train,3
607,test,2
608,train,0
609,test,4
610,test,9
611,train,0
612,train,0
613,train,0
614,train,7
615,test,5
616,train,10
617,train,5
618,train,0
619,train,3
620,train,2
621,train,1
622,test,0
623,train,4
624,test,1
625,train,5
626,train,2
627,train,0
628,train,5
629,train,0
630,train,4
631,train,6
632,train,3
633,train,5
634,train,2
635,test,1
636,test,2
637,train,2
638,train,1
639,train,6
640,train,1
641,train,12
642,test,11
643,train,2
644,train,1
645,test,8
646,test,5
647,train,0
648,train,1
649,train,1
650,train,5
651,train,3
652,train,2
653,train,3
654,train,1
655,train,0
656,train,2
657,train,0
658,train,1
659,train,5
660,train,1
661,train,2
662,train,10
663,train,4
664,train,1
665,train,9
666,train,4
667,train,10
668,train,11
669,train,1
670,train,1
671,train,1
672,train,0
673,train,2
674,train,8
675,train,6
676,train,7
677,test,1
678,test,0
679,train,0
680,train,7
681,train,3
682,train,9
683,train,1
684,train,0
685,train,0
686,train,0
687,test,0
688,train,2
689,train,0
690,train,0
691,test,0
692,train,0
693,train,11
694,train,1
695,test,0
696,train,0
697,train,2
698,train,6
699,train,5
700,train,0
701,train,4
702,test,3
703,test,0
704,test,5
705,test,0
706,train,0
707,train,6
708,train,0
709,train,9
710,train,6
711,train,5
712,test,2
713,train,1
714,train,12
715,test,7
716,train,4
717,test,10
718,train,10
719,train,8
720,train,1
721,train,2
722,train,0
723,train,0
724,train,1
725,test,4
726,train,1
727,train,2
728,test,3
729,test,2
730,train,1
731,train,1
732,train,3
733,train,5
734,test,1
735,test,3
736,test,7
737,train,1
738,train,1
739,test,2
740,train,10
741,train,6
742,train,1
743,test,9
744,train,1
745,train,1
746,test,2
747,train,13
748,train,2
749,train,3
750,test,6
751,train,4
752,train,1
753,train,0
754,train,1
755,train,0
756,train,2
757,train,2
758,train,0
759,train,3
760,train,2
761,train,1
762,train,3
763,train,1
764,train,3
765,train,6
766,test,2
767,train,1
768,train,6
769,train,3
770,test,6
771,test,1
772,train,0
773,train,3
774,train,4
775,train,0
776,test,2
777,test,0
778,train,10
779,test,1
780,train,4
781,train,5
782,train,0
783,test,2
784,test,0
785,train,6
786,train,1
787,train,3
788,train,5
789,train,2
790,train,2
791,test,2
792,train,0
793,train,0
794,train,9
795,train,2
796,test,0
797,train,0
798,test,0
799,train,4
800,train,0
801,test,0
802,train,0
803,train,0
804,train,0
805,train,3
806,train,10
807,train,1
808,train,3
809,train,8
810,train,5
811,train,1
812,train,5
813,train,2
814,test,1
815,train,3
816,train,0
817,train,0
818,train,2
819,test,3
820,train,3
821,train,2
822,test,1
823,train,2
824,train,3
825,train,2
826,train,1
827,train,0
828,train,3
829,train,7
830,train,1
831,train,3
832,train,2
833,train,1
834,train,0
835,test,1
836,train,3
837,train,1
838,test,6
839,train,2
840,train,3
841,train,2
842,test,0
843,train,10
844,train,0
845,train,3
846,train,4
847,test,0
848,train,2
849,train,7
850,train,0
851,train,0
852,train,3
853,train,4
854,test,1
855,train,0
856,train,5
857,train,2
858,train,1
859,train,1
860,test,7
861,train,7
862,test,0
863,train,1
864,train,4
865,train,5
866,train,8
867,test,13
868,train,1
869,train,1
870,test,1
871,train,4
872,train,8
873,train,2
874,train,1
875,train,1
876,train,4
877,train,4
878,train,0
879,train,7
880,train,8
881,train,3
882,test,0
883,train,2
884,train,2
885,train,5
886,train,8
887,train,1
888,test,1
889,train,1
890,train,5
891,test,0
892,test,0
893,train,5
894,test,1
895,train,1
896,test,3
897,train,3
898,test,4
899,train,4
900,test,3
901,train,1
902,train,0
903,test,3
904,train,4
905,train,4
906,train,0
907,test,5
908,train,1
909,train,0
910,test,4
911,train,4
912,train,0
913,train,10
914,train,1
915,train,5
916,test,2
917,test,3
918,test,2
919,train,0
920,train,1
921,train,4
922,train,0
923,train,0
924,train,6
925,train,7
926,train,3
927,train,0
928,train,4
929,train,3
930,train,2
931,train,4
932,train,0
933,train,2
934,train,2
935,train,6
936,train,10
937,train,2
938,train,7
939,train,8
940,train,1
941,train,1
942,train,3
943,test,9
944,train,4
945,train,0
946,test,3
947,test,2
948,test,4
949,train,3
950,train,5
951,train,2
952,train,1
953,train,7
954,test,2
955,train,1
956,test,0
957,train,7
958,train,10
959,train,2
960,test,1
961,train,7
962,train,2
963,train,5
964,train,2
965,train,1
966,test,4
967,train,0
968,train,1
969,train,5
970,train,0
971,train,2
972,train,6
973,train,0
974,test,2
975,train,4
976,train,1
977,test,0
978,train,5
979,train,8
980,train,1
981,train,1
982,train,3
983,train,0
984,train,3
985,train,4
986,test,5
987,train,1
988,test,1
989,train,7
990,test,1
991,train,4
992,train,1
993,test,4
994,test,1
995,train,0
996,train,1
997,train,2
998,train,1
999,train,3
1000,train,2
1001,test,5
1002,train,2
1003,train,1
1004,test,1
1005,train,2
1006,train,2
1007,train,0
1008,train,8
1009,train,3
1010,test,2
1011,test,7
1012,train,5
1013,train,1
1014,train,4
1015,test,2
1016,train,2
1017,train,8
1018,train,4
1019,test,1
1020,train,1
1021,train,0
1022,train,1
1023,test,3
1024,test,9
1025,train,3
1026,train,3
1027,train,1
1028,test,1
1029,test,6
1030,train,2
1031,train,3
1032,train,5
1033,train,3
1034,train,5
1035,test,1
1036,train,5
1037,train,1
1038,test,6
1039,train,2
1040,train,4
1041,train,4
1042,train,3
1043,train,0
1044,train,2
1045,train,0
1046,train,1
1047,train,8
1048,train,1
1049,test,8
1050,train,2
1051,train,4
1052,test,1
1053,train,1
1054,train,0
1055,test,1
1056,test,4
1057,train,1
1058,test,2
1059,train,1
1060,train,1
1061,train,1
1062,train,1
1063,test,12
1064,test,4
1065,train,6
1066,train,3
1067,train,2
1068,train,4
1069,train,7
1070,train,12
1071,train,4
1072,test,4
1073,train,0
1074,train,3
1075,train,7
1076,test,3
1077,train,1
1078,train,10
1079,train,3
1080,train,2
1081,train,0
1082,train,0
1083,train,6
1084,train,8
1085,test,0
1086,test,4
1087,train,6
1088,test,0
1089,test,1
1090,train,7
1091,test,1
1092,train,4
1093,test,0
1094,train,1
1095,train,2
1096,test,1
1097,test,0
1098,train,2
1099,test,0
1100,train,10
1101,train,1
1102,train,10
1103,train,7
1104,train,0
1105,train,13
1106,train,4
1107,train,1
1108,train,10
1109,train,3
1110,train,3
1111,train,0
1112,test,3
1113,train,3
1114,test,2
1115,train,4
1116,train,0
1117,test,0
1118,train,0
1119,train,8
1120,train,4
1121,train,2
1122,test,2
1123,train,0
1124,train,3
1125,train,0
1126,test,1
1127,train,2
1128,train,1
1129,train,7
1130,train,2
1131,train,4
1132,test,11
1133,train,0
1134,train,0
1135,train,3
1136,test,0
1137,train,11
1138,train,3
1139,train,6
1140,train,4
1141,train,9
1142,train,0
1143,train,0
1144,test,0
1145,train,6
1146,train,3
1147,train,5
1148,test,1
1149,train,12
1150,train,1
1151,test,0
1152,train,9
1153,train,0
1154,train,9
1155,train,1
1156,test,1
1157,train,1
1158,test,1
1159,test,2
1160,train,0
1161,train,2
1162,train,3
1163,train,6
1164,test,5
1165,train,0
1166,train,9
1167,train,2
1168,test,7
1169,train,3
1170,train,12
1171,train,6
1172,test,6
1173,train,1
1174,train,5
1175,train,3
1176,train,2
1177,train,6
1178,train,5
1179,test,0
1180,test,2
1181,train,3
1182,test,0
1183,train,1
1184,train,11
1185,train,6
1186,train,7
1187,train,2
1188,train,1
1189,train,2
1190,train,3
1191,train,0
1192,train,4
1193,train,2
1194,train,1
1195,train,8
1196,train,6
1197,train,3
1198,train,3
1199,train,0
1200,train,7
1201,train,1
1202,train,3
1203,train,5
1204,test,0
1205,train,1
1206,train,3
1207,train,6
1208,train,5
1209,test,2
1210,train,1
1211,train,1
1212,train,0
1213,train,0
1214,train,6
1215,train,1
1216,train,2
1217,train,0
1218,train,2
1219,train,2
1220,train,2
1221,train,1
1222,train,10
1223,train,3
1224,train,2
1225,train,0
1226,train,4
1227,train,3
1228,train,6
1229,test,0
1230,train,0
1231,train,3
1232,train,9
1233,train,8
1234,train,1
1235,train,0
1236,train,4
1237,test,7
1238,test,3
1239,train,3
1240,train,2
1241,test,0
1242,train,0
1243,train,2
1244,test,9
1245,train,0
1246,test,8
1247,train,4
1248,train,8
1249,test,1
1250,train,3
1251,train,0
1252,train,6
1253,train,3
1254,train,7
1255,train,2
1256,train,8
1257,train,8
1258,train,11
1259,train,2
1260,train,3
1261,train,3
1262,train,0
1263,train,1
1264,train,10
1265,test,0
1266,test,6
1267,test,0
1268,test,2
1269,train,1
1270,train,5
1271,train,1
1272,train,2
1273,train,5
1274,train,2
1275,train,1
1276,train,3
1277,train,0
1278,train,1
1279,train,3
1280,train,9
1281,train,2
1282,train,0
1283,test,1
1284,train,1
1285,train,2
1286,train,6
1287,train,0
1288,train,1
1289,train,1
1290,test,3
1291,test,2
1292,train,1
1293,train,0
1294,train,7
1295,train,1
1296,train,0
1297,train,1
1298,train,2
1299,test,2
1300,train,4
1301,train,2
1302,test,0
1303,train,1
1304,train,1
1305,train,3
1306,train,3
1307,train,0
1308,train,1
1309,train,2
1310,train,1
1311,train,2
1312,test,0
1313,test,2
1314,train,10
1315,train,6
1316,train,1
1317,test,0
1318,train,1
1319,train,3
1320,train,1
1321,train,1
1322,train,0
1323,train,11
1324,train,2
1325,train,8
1326,train,5
1327,test,0
1328,train,2
1329,train,3
1330,train,1
1331,train,5
1332,train,1
1333,train,6
1334,train,5
1335,train,1
1336,train,1
1337,train,3
1338,train,5
1339,train,0
1340,train,12
1341,train,0
1342,train,1
1343,train,5
1344,test,4
1345,train,3
1346,train,3
1347,train,4
1348,train,2
1349,test,1
1350,train,5
1351,train,1
1352,train,1
1353,train,0
1354,train,3
1355,test,0
1356,train,10
1357,train,9
1358,train,4
1359,train,4
1360,test,4
1361,train,3
1362,train,0
1363,train,4
1364,test,1
1365,train,1
1366,test,10
1367,train,8
1368,train,1
1369,train,2
1370,test,1
1371,train,0
1372,train,7
1373,train,1
1374,train,3
1375,train,7
1376,train,9
1377,train,0
1378,train,0
1379,test,0
1380,train,0
1381,test,7
1382,test,8
1383,train,0
1384,train,2
1385,train,1
1386,train,4
1387,train,0
1388,test,3
1389,train,2
1390,train,0
1391,train,11
1392,train,0
1393,train,1
1394,train,5
1395,train,7
1396,train,1
1397,test,11
1398,train,1
1399,train,0
1400,train,5
1401,train,0
1402,train,0
1403,train,4
1404,test,0
1405,test,1
1406,train,2
1407,train,3
1408,train,2
1409,train,1
1410,train,2
1411,train,8
1412,train,1
1413,train,0
1414,train,1
1415,train,10
1416,test,3
1417,train,1
1418,train,1
1419,train,0
1420,test,8
1421,train,0
1422,train,2
1423,train,9
1424,train,0
1425,test,1
1426,train,11
1427,test,4
1428,train,13
1429,train,0
1430,train,5
1431,test,1
1432,train,4
1433,train,2
1434,train,9
1435,train,0
1436,test,1
1437,test,1
1438,train,1
1439,train,8
1440,train,4
1441,test,1
1442,train,2
1443,train,0
1444,test,2
1445,train,1
1446,train,5
1447,train,3
1448,test,2
1449,train,0
1450,train,3
1451,train,5
1452,test,8
1453,train,2
1454,test,3
1455,test,5
1456,train,3
1457,train,5
1458,test,1
1459,train,9
1460,train,3
1461,train,4
1462,test,5
1463,train,1
1464,train,0
1465,train,4
1466,train,9
1467,train,1
1468,test,9
1469,train,0
1470,train,6
1471,train,6
1472,train,0
1473,test,5
1474,train,2
1475,train,3
1476,test,1
1477,train,1
1478,train,2
1479,train,1
1480,train,2
1481,train,6
1482,train,5
1483,train,2
1484,train,0
1485,train,9
1486,train,0
1487,test,11
1488,train,0
1489,train,1
1490,train,4
1491,train,3
1492,train,2
1493,train,4
1494,test,9
1495,train,1
1496,train,0
1497,train,2
1498,test,2
1499,test,1
1500,train,10
1501,train,0
1502,train,4
1503,train,0
1504,train,4
1505,train,1
1506,train,1
1507,train,1
1508,train,2
1509,train,4
1510,test,0
1511,train,2
1512,train,1
1513,train,0
1514,train,0
1515,train,4
1516,test,2
1517,train,0
1518,train,0
1519,train,3
1520,test,1
1521,train,5
1522,train,2
1523,train,3
1524,train,4
1525,train,3
1526,train,9
1527,train,4
1528,train,3
1529,train,1
1530,train,7
1531,train,2
1532,test,1
1533,test,0
1534,train,1
1535,test,4
1536,train,1
1537,train,2
1538,train,1
1539,train,6
1540,train,8
1541,train,1
1542,test,0
1543,train,2
1544,train,3
1545,train,4
1546,train,1
1547,test,2
1548,train,13
1549,test,7
1550,train,0
1551,test,7
1552,test,4
1553,test,1
1554,train,2
1555,train,3
1556,train,0
1557,train,8
1558,train,1
1559,train,0
1560,train,1
1561,train,7
1562,train,12
1563,train,1
1564,train,13
1565,train,0
1566,test,0
1567,train,2
1568,train,0
1569,train,9
1570,train,8
1571,train,0
1572,train,4
1573,train,0
1574,train,1
1575,train,8
1576,train,0
1577,train,4
1578,train,8
1579,train,1
1580,train,3
1581,train,3
1582,test,8
1583,train,2
1584,train,1
1585,train,0
1586,train,3
1587,train,8
1588,train,0
1589,train,4
1590,test,4
1591,train,1
1592,test,0
1593,train,4
1594,train,9
1595,train,1
1596,train,3
1597,train,12
1598,test,2
1599,test,9
1600,train,7
1601,train,1
1602,train,7
1603,test,9
1604,train,2
1605,train,0
1606,train,6
1607,train,0
1608,train,1
1609,train,2
1610,train,6
1611,train,0
1612,train,3
1613,train,4
1614,train,0
1615,train,8
1616,train,1
1617,train,2
1618,train,1
1619,train,2
1620,train,1
1621,test,2
1622,train,7
1623,train,1
1624,train,4
1625,test,2
1626,train,0
1627,train,0
1628,test,1
1629,train,2
1630,train,5
1631,train,1
1632,test,0
1633,train,3
1634,train,1
1635,test,0
1636,train,1
1637,train,5
1638,test,1
1639,train,1
1640,train,1
1641,train,0
1642,train,11
1643,test,1
1644,train,1
1645,train,0
1646,test,2
1647,train,4
1648,train,0
1649,train,1
1650,train,3
1651,train,0
1652,train,6
1653,train,4
1654,test,1
1655,test,1
1656,train,6
1657,train,10
1658,train,3
1659,test,0
1660,train,4
1661,train,0
1662,train,2
1663,train,3
1664,train,0
1665,train,0
1666,train,0
1667,train,6
1668,test,2
1669,train,1
1670,train,3
1671,train,7
1672,train,11
1673,train,3
1674,train,6
1675,train,6
1676,test,4
1677,train,0
1678,train,0
1679,train,2
1680,train,11
1681,train,3
1682,test,3
1683,test,1
1684,train,5
1685,train,5
1686,train,0
1687,train,4
1688,train,10
1689,train,6
1690,train,1
1691,train,0
1692,test,5
1693,train,6
1694,train,6
1695,test,1
1696,train,11
1697,train,12
1698,train,4
1699,train,0
1700,train,6
1701,train,4
1702,train,4
1703,train,0
1704,train,4
1705,train,0
1706,train,0
1707,train,7
1708,train,2
1709,train,1
1710,train,1
1711,test,0
1712,test,1
1713,train,5
1714,train,0
1715,test,2
1716,train,1
1717,train,2
1718,train,0
1719,train,0
1720,train,0
1721,train,2
1722,train,9
1723,train,6
1724,train,3
1725,train,7
1726,train,3
1727,train,4
1728,train,1
1729,train,0
1730,train,1
1731,train,2
1732,train,1
1733,train,1
1734,test,4
1735,train,0
1736,train,1
1737,train,0
1738,train,2
1739,train,2
1740,test,0
1741,train,3
1742,train,1
1743,train,9
1744,train,0
1745,train,0
1746,test,0
1747,train,1
1748,train,1
1749,train,5
1750,train,8
1751,test,6
1752,test,12
1753,train,11
1754,test,7
1755,train,3
1756,train,2
1757,train,4
1758,train,0
1759,train,3
1760,test,5
1761,train,3
1762,train,2
1763,train,1
1764,test,11
1765,train,5
1766,test,1
1767,train,7
1768,train,1
1769,test,2
1770,train,1
1771,test,1
1772,train,4
1773,train,0
1774,test,2
1775,train,3
1776,test,3
1777,train,8
1778,test,1
1779,test,3
1780,test,8
1781,train,6
1782,train,4
1783,train,3
1784,train,1
1785,train,2
1786,train,0
1787,test,7
1788,train,5
1789,train,0
1790,test,0
1791,train,2
1792,train,0
1793,train,3
1794,train,7
1795,train,1
1796,test,0
1797,train,0
1798,test,0
1799,train,3
1800,train,1
1801,train,2
1802,train,4
1803,train,2
1804,train,8
1805,train,10
1806,train,2
1807,train,0
1808,train,0
1809,train,1
1810,test,1
1811,train,6
1812,train,1
1813,train,2
1814,train,10
1815,train,0
1816,train,0
1817,train,4
1818,train,0
1819,train,0
1820,train,1
1821,train,2
1822,train,6
1823,train,0
1824,train,1
1825,train,1
1826,train,1
1827,train,0
1828,train,0
1829,train,1
1830,train,3
1831,train,1
1832,train,1
1833,train,12
1834,train,1
1835,test,1
1836,train,8
1837,train,4
1838,train,3
1839,test,0
1840,train,3
1841,train,12
1842,train,0
1843,train,3
1844,train,6
1845,train,4
1846,train,0
1847,train,13
1848,train,0
1849,train,0
1850,train,2
1851,test,0
1852,train,5
1853,train,0
1854,train,1
1855,train,2
1856,test,2
1857,train,0
1858,train,1
1859,test,0
1860,train,0
1861,train,2
1862,train,13
1863,train,7
1864,train,1
1865,train,0
1866,train,2
1867,train,0
1868,train,9
1869,train,10
1870,test,1
1871,train,1
1872,train,9
1873,train,8
1874,train,1
1875,train,6
1876,train,2
1877,train,7
1878,train,8
1879,train,1
1880,train,2
1881,train,1
1882,train,1
1883,train,10
1884,train,0
1885,train,13
1886,train,1
1887,test,1
1888,train,4
1889,train,2
1890,train,2
1891,test,0
1892,train,8
1893,train,3
1894,train,3
1895,train,5
1896,train,5
1897,test,11
1898,train,2
1899,train,1
1900,train,4
1901,test,5
1902,train,0
1903,train,1
1904,train,1
1905,test,2
1906,test,0
1907,test,3
1908,train,0
1909,train,5
1910,test,4
1911,train,9
1912,train,0
1913,test,0
1914,train,1
1915,test,7
1916,train,4
1917,train,0
1918,train,1
1919,train,8
1920,train,2
1921,train,0
1922,test,1
1923,test,1
1924,train,3
1925,train,1
1926,train,2
1927,train,8
1928,train,3
1929,train,0
1930,train,0
1931,test,3
1932,train,0
1933,train,2
1934,test,7
1935,train,0
1936,train,1
1937,train,2
1938,test,5
1939,train,5
1940,train,8
1941,test,3
1942,train,4
1943,train,1
1944,test,1
1945,train,1
1946,train,3
1947,train,3
1948,test,10
1949,train,1
1950,test,0
1951,train,10
1952,train,2
1953,train,3
1954,train,3
1955,train,2
1956,train,2
1957,test,1
1958,train,3
1959,train,8
1960,train,4
1961,train,3
1962,train,4
1963,train,0
1964,train,0
1965,train,7
1966,test,0
1967,test,11
1968,test,1
1969,train,11
1970,train,1
1971,train,5
1972,train,0
1973,train,1
1974,train,1
1975,train,6
1976,train,1
1977,train,1
1978,test,4
1979,train,7
1980,train,2
1981,train,5
1982,train,2
1983,test,2
1984,train,0
1985,train,3
1986,test,1
1987,train,1
1988,train,4
1989,train,2
1990,train,0
1991,train,5
1992,train,1
1993,train,2
1994,train,0
1995,train,1
1996,train,0
1997,train,6
1998,train,8
1999,train,3
2000,train,3
2001,train,3
2002,test,0
2003,train,2
2004,test,4
2005,train,6
2006,test,10
2007,train,0
2008,train,2
2009,train,7
2010,train,1
2011,train,0
2012,train,6
2013,train,4
2014,test,2
2015,train,2
2016,train,0
2017,train,0
2018,train,10
2019,train,8
2020,test,0
2021,train,2
2022,train,7
2023,test,2
2024,train,1
2025,train,1
2026,train,2
2027,train,4
2028,train,7
2029,test,0
2030,train,9
2031,test,1
2032,train,8
2033,train,0
2034,train,2
2035,train,0
2036,train,1
2037,train,9
2038,test,2
2039,train,2
2040,train,2
2041,train,7
2042,test,8
2043,train,5
2044,train,0
2045,train,1
2046,train,3
2047,train,5
2048,train,7
2049,train,1
2050,train,1
2051,train,4
2052,train,5
2053,train,2
2054,train,1
2055,train,1
2056,train,2
2057,train,3
2058,train,3
2059,train,1
2060,train,1
2061,train,1
2062,train,5
2063,test,2
2064,train,2
2065,train,3
2066,train,8
2067,train,8
2068,train,8
2069,train,6
2070,train,1
2071,train,0
2072,train,0
2073,train,1
2074,train,0
2075,test,2
2076,train,2
2077,train,5
2078,train,2
2079,train,5
2080,train,2
2081,train,5
2082,train,5
2083,train,2
2084,test,7
2085,train,2
2086,train,0
2087,train,2
2088,test,2
2089,train,11
2090,train,4
2091,train,0
2092,train,7
2093,train,0
2094,train,10
2095,train,0
2096,train,0
2097,test,1
2098,test,0
2099,train,1
2100,train,8
2101,train,0
2102,train,3
2103,test,4
2104,test,5
2105,train,2
2106,train,2
2107,train,1
2108,train,1
2109,test,3
2110,test,4
2111,train,6
2112,test,2
2113,train,6
2114,train,10
2115,test,1
2116,train,3
2117,train,8
2118,train,3
2119,test,0
2120,train,7
2121,train,0
2122,test,0
2123,train,9
2124,test,8
2125,train,2
2126,train,1
2127,train,3
2128,train,5
2129,test,10
2130,test,2
2131,train,2
2132,train,4
2133,train,1
2134,train,3
2135,train,0
2136,train,1
2137,train,6
2138,train,1
2139,train,6
2140,train,2
